weather,traffic,temp,hour,delay
clear,high,288.28,9,0
clear,medium,289.36,10,0
clear,medium,289.58,11,0
clear,high,290.13,12,0
clear,medium,291.14,13,0
clear,high,291.72,14,0
clear,high,293.17,15,0
clear,high,293.86,16,0
clear,high,294.14,17,0
clear,medium,293.1,18,0
clear,medium,290.97,19,0
clear,low,289.38,20,0
clear,low,288.61,21,0
clear,low,287.16,22,0
clear,low,285.45,23,0
clear,low,284.63,0,0
clear,low,283.47,1,0
clear,low,281.18,2,0
clear,low,281.09,3,0
clear,low,279.53,4,0
clear,low,278.62,5,0
clear,high,278.23,6,0
clear,high,278.12,8,0
clear,high,282.48,9,0
clear,high,291.97,12,0
clear,medium,293.23,13,0
clear,high,294.31,14,0
clear,high,295.17,15,0
clear,high,295.13,16,0
clear,medium,293.66,18,0
clear,medium,290.65,19,0
clear,low,288.19,20,0
clear,low,287.1,21,0
clear,low,286.25,22,0
clear,low,285.26,23,0
clear,low,284.55,0,0
clear,low,283.47,1,0
clear,low,283.17,2,0
clear,low,282.04,3,0
clear,low,281.69,4,0
clear,low,281.32,5,0
clear,high,280.74,6,0
clear,high,280.57,7,0
clear,high,281.86,8,0
clear,high,284.98,9,0
clear,medium,289.18,10,0
clear,medium,291.55,11,0
clear,high,294.97,12,0
clear,high,296.38,13,0
clear,high,297.32,14,0
clear,high,298.17,15,0
clear,high,298.06,16,0
clear,high,297.67,17,0
clear,medium,296.36,18,0
clear,medium,293.85,19,0
clear,medium,292.43,20,0
clear,low,291.77,21,0
clear,low,291.36,22,0
clear,low,291.12,23,0
clear,low,290.63,0,0
clear,low,290.46,1,0
clear,low,289.26,3,0
clear,low,283.21,5,0
clear,high,282.24,6,0
clear,high,281.69,7,0
clear,high,280.57,8,0
clear,high,280.02,9,0
clear,medium,280.11,10,0
clear,high,280.0,11,0
clear,high,280.53,12,0
clear,high,281.43,13,0
clear,high,281.78,14,0
clear,high,281.91,15,0
clear,high,281.73,16,0
clear,high,281.42,17,0
clear,high,280.87,18,0
clear,medium,280.15,19,0
clear,medium,279.78,20,0
clear,low,279.65,21,0
clear,low,279.22,22,0
clear,low,279.06,23,0
clear,low,278.81,0,0
clear,low,278.55,1,0
clear,low,278.59,2,0
clear,low,276.99,4,0
clear,low,276.35,5,0
clear,low,275.4,6,0
clear,low,275.17,7,0
clear,medium,274.99,8,0
clear,medium,275.09,9,0
clear,medium,276.88,10,0
clear,high,278.04,11,0
clear,high,279.08,12,0
clear,high,280.12,13,0
clear,high,280.25,14,0
clear,high,280.0,15,0
clear,high,279.06,16,0
clear,medium,278.91,17,0
clear,medium,278.39,18,0
clear,medium,278.16,19,0
clear,medium,278.16,20,0
clear,low,277.93,21,0
clear,medium,276.9,22,0
clear,low,276.34,23,0
clear,low,276.11,0,0
clear,low,275.73,3,0
clear,low,275.65,4,0
clear,low,275.51,5,0
clear,low,275.05,6,0
clear,low,274.77,7,0
clear,low,274.77,8,0
clear,medium,275.55,9,0
clear,medium,276.24,10,0
clear,medium,277.01,11,0
clear,high,277.43,12,0
clear,high,278.45,13,0
clear,high,279.27,14,0
clear,medium,279.27,15,0
clear,medium,279.44,16,0
clear,medium,279.32,17,0
clear,medium,279.27,18,0
clear,medium,278.11,19,0
clear,low,276.79,20,0
clear,low,275.73,21,0
clear,low,274.88,22,0
clear,low,273.92,23,0
clear,low,273.08,0,0
clear,low,272.62,1,0
clear,low,271.78,2,0
clear,low,271.05,3,0
clear,low,270.63,4,0
clear,low,270.33,5,0
clear,high,269.61,6,0
clear,high,270.01,7,0
clear,high,271.23,8,0
clear,medium,273.71,9,0
clear,medium,276.77,10,0
clear,medium,279.47,11,0
clear,medium,279.84,12,0
clear,medium,282.34,13,0
clear,high,282.94,14,0
clear,high,283.48,15,0
clear,high,284.33,16,0
clear,high,284.48,17,0
clear,medium,284.23,18,0
clear,medium,281.99,19,0
clear,low,279.81,20,0
clear,low,279.35,21,0
clear,low,278.9,22,0
clear,low,278.46,23,0
clear,low,277.78,0,0
clear,low,277.27,1,0
clear,low,277.47,2,0
clear,low,276.97,4,0
clear,low,276.52,5,0
clear,high,276.6,6,0
clear,high,277.31,7,0
clear,high,278.38,8,0
clear,high,279.35,9,0
clear,medium,281.37,10,0
clear,medium,283.11,11,0
clear,high,284.08,12,0
clear,high,285.14,13,0
clear,high,286.35,14,0
rain,high,287.23,15,1
clear,high,288.53,16,0
clear,high,290.37,17,0
clear,medium,290.13,18,0
clear,medium,288.86,19,0
clear,low,287.36,20,0
clear,low,285.11,21,0
clear,low,283.46,22,0
clear,low,282.45,23,0
clear,low,281.88,0,0
clear,low,281.78,1,0
clear,low,281.09,2,0
clear,low,281.17,3,0
clear,high,281.25,6,0
rain,high,281.25,7,1
rain,high,281.25,7,1
rain,high,280.1,8,1
rain,high,280.1,8,1
rain,high,279.61,9,1
rain,high,279.61,9,1
clear,medium,279.67,10,0
clear,medium,280.19,11,0
clear,high,282.09,12,0
clear,high,282.26,13,0
clear,high,282.05,14,0
clear,high,281.59,15,0
clear,high,281.23,16,0
clear,medium,282.6,18,0
clear,medium,282.6,19,0
clear,medium,282.6,20,0
clear,low,282.6,21,0
clear,low,282.6,22,0
clear,low,282.6,23,0
clear,low,273.9,1,0
clear,low,274.4,3,0
clear,low,274.05,4,0
clear,low,273.71,5,0
clear,high,272.66,6,0
clear,high,272.65,7,0
clear,high,272.52,8,0
clear,high,275.19,9,0
clear,medium,275.34,10,0
clear,high,284.1,14,0
clear,high,284.1,15,0
clear,high,283.78,16,0
clear,high,283.52,17,0
clear,medium,283.32,18,0
clear,medium,282.06,19,0
clear,medium,281.95,20,0
clear,low,281.81,21,0
clear,low,282.16,22,0
clear,low,282.53,23,0
clear,low,283.91,0,0
clear,low,284.64,1,0
clear,low,284.61,2,0
rain,low,283.18,3,0
rain,low,282.26,4,0
rain,low,280.77,5,0
clear,high,278.53,6,0
clear,high,277.64,7,0
clear,high,277.9,8,0
clear,high,278.18,9,0
clear,medium,279.29,10,0
clear,high,280.45,11,0
clear,high,280.95,12,0
clear,high,281.74,13,0
clear,high,281.84,14,0
clear,high,282.45,15,0
clear,high,282.2,16,0
clear,high,281.54,17,0
clear,high,280.21,18,0
clear,low,282.2,23,0
clear,low,272.58,0,0
clear,low,272.06,1,0
clear,low,270.99,2,0
clear,low,270.29,3,0
clear,low,269.48,4,0
clear,low,269.27,5,0
clear,low,268.91,6,0
clear,low,268.98,7,0
clear,medium,269.23,8,0
clear,medium,272.61,9,0
clear,medium,276.78,10,0
clear,medium,279.22,11,0
clear,medium,280.35,12,0
clear,medium,281.81,13,0
clear,medium,283.05,14,0
clear,medium,283.96,15,0
clear,medium,284.53,16,0
clear,medium,284.44,17,0
clear,medium,283.64,18,0
clear,medium,281.85,19,0
clear,medium,281.38,20,0
clear,low,281.84,21,0
clear,low,282.23,22,0
clear,low,282.18,23,0
clear,low,282.49,0,0
clear,low,282.54,1,0
clear,low,282.58,2,0
clear,low,282.23,3,0
clear,low,282.08,4,0
clear,low,282.23,5,0
clear,low,282.24,6,0
clear,low,282.24,7,0
clear,low,282.24,8,0
rain,low,282.43,9,0
clear,low,282.43,9,0
clear,low,282.43,9,0
rain,medium,282.33,10,0
clear,medium,282.33,10,0
rain,medium,282.82,11,0
clear,medium,282.82,11,0
clear,medium,283.33,12,0
rain,medium,283.33,12,0
rain,medium,283.33,12,0
rain,medium,283.75,13,0
clear,medium,283.75,13,0
rain,medium,283.75,13,0
clear,medium,284.09,14,0
rain,medium,284.09,14,0
rain,medium,284.09,14,0
clear,medium,284.55,15,0
rain,medium,284.55,15,0
clear,medium,284.68,16,0
rain,medium,284.64,17,0
clear,medium,284.64,17,0
clear,medium,284.4,18,0
clear,medium,284.17,19,0
clear,low,284.03,20,0
clear,low,283.58,21,0
clear,low,283.04,22,0
clear,low,281.95,23,0
clear,low,281.95,23,0
clear,low,281.61,0,0
clear,low,281.61,0,0
clear,low,281.57,1,0
clear,low,281.42,2,0
clear,low,281.29,3,0
clear,low,281.29,3,0
clear,low,281.02,4,0
clear,low,281.02,4,0
clear,low,280.82,5,0
clear,low,280.82,5,0
clear,high,280.39,6,0
clear,high,280.19,7,0
clear,high,279.82,8,0
clear,high,279.75,9,0
clear,medium,280.07,10,0
clear,medium,280.32,11,0
clear,medium,281.72,12,0
clear,medium,284.01,13,0
clear,high,285.88,14,0
clear,high,286.87,15,0
clear,high,287.6,16,0
clear,high,287.27,17,0
clear,medium,286.18,18,0
clear,medium,285.2,19,0
clear,low,284.68,20,0
clear,low,284.49,21,0
clear,low,283.54,22,0
clear,low,282.33,23,0
clear,low,281.21,0,0
clear,low,279.87,1,0
clear,low,278.93,2,0
clear,low,277.91,3,0
clear,low,277.21,4,0
clear,low,276.61,5,0
clear,high,276.11,6,0
clear,high,274.81,7,0
clear,high,274.99,8,0
clear,high,277.91,9,0
clear,medium,280.71,10,0
clear,medium,283.85,11,0
clear,high,286.01,12,0
clear,high,286.31,13,0
clear,high,288.15,14,0
clear,high,289.15,15,0
clear,high,288.99,16,0
clear,high,288.86,17,0
clear,high,288.16,18,0
rain,medium,287.28,19,0
clear,low,287.04,20,0
clear,low,286.9,21,0
clear,low,287.09,22,0
clear,low,287.09,23,0
clear,low,286.89,0,0
clear,low,286.93,1,0
clear,low,286.93,2,0
clear,low,287.07,3,0
clear,low,286.56,4,0
clear,low,285.91,5,0
clear,high,285.29,6,0
clear,high,284.92,7,0
clear,high,285.35,8,0
rain,high,285.72,9,1
rain,high,285.72,9,1
clear,medium,287.09,10,0
clear,medium,288.31,11,0
clear,medium,288.61,12,0
clear,medium,290.32,13,0
clear,medium,291.36,14,0
clear,medium,292.01,15,0
clear,high,292.61,16,0
clear,high,292.65,17,0
clear,medium,290.52,18,0
clear,medium,288.35,19,0
clear,low,286.72,20,0
clear,low,285.49,21,0
clear,low,284.22,22,0
clear,low,283.8,23,0
clear,low,283.72,0,0
clear,low,282.8,1,0
clear,low,282.32,2,0
clear,low,282.38,3,0
clear,low,282.76,4,0
clear,low,282.88,5,0
clear,high,284.18,6,0
clear,high,284.69,7,0
clear,high,285.0,8,0
rain,high,286.9,9,1
clear,medium,288.35,10,0
clear,high,289.59,11,0
rain,high,288.27,12,1
clear,high,286.41,13,0
clear,high,285.96,14,0
clear,high,287.04,15,0
clear,high,287.18,16,0
clear,high,286.94,17,0
clear,medium,286.01,18,0
rain,medium,284.67,19,0
rain,low,283.44,20,0
rain,low,282.51,21,0
clear,low,281.9,22,0
clear,low,281.85,23,0
clear,low,281.28,0,0
clear,low,280.97,1,0
rain,low,280.44,2,0
clear,low,280.44,2,0
clear,low,280.02,3,0
rain,low,279.79,4,0
clear,low,279.79,4,0
rain,low,279.79,4,0
rain,low,279.79,4,0
clear,low,279.74,5,0
rain,low,279.74,5,0
rain,high,279.65,6,1
clear,high,279.65,6,0
rain,high,279.65,6,1
clear,high,279.45,7,0
rain,high,279.45,7,1
rain,high,279.22,8,1
clear,high,279.22,8,0
rain,high,279.22,8,1
rain,medium,279.35,9,0
clear,medium,279.35,9,0
clear,medium,279.92,10,0
clear,medium,280.44,11,0
clear,medium,281.0,12,0
clear,medium,281.51,13,0
clear,high,281.93,14,0
clear,high,281.94,15,0
rain,high,281.94,15,1
rain,medium,282.27,16,0
rain,medium,282.41,17,0
clear,medium,282.21,18,0
clear,medium,281.69,19,0
clear,low,281.26,20,0
clear,low,280.66,21,0
rain,medium,280.43,22,0
rain,medium,280.43,22,0
clear,low,280.1,23,0
rain,low,280.1,23,0
rain,low,280.1,23,0
rain,low,280.06,0,0
rain,low,280.06,0,0
rain,low,280.28,1,0
rain,low,280.28,1,0
rain,low,280.38,2,0
rain,low,280.62,3,0
clear,low,280.62,3,0
clear,low,280.91,4,0
rain,low,280.91,4,0
rain,low,280.91,4,0
rain,low,280.96,5,0
clear,low,280.96,5,0
rain,low,280.96,5,0
rain,low,281.13,6,0
clear,low,281.13,6,0
rain,low,281.13,6,0
rain,low,281.28,7,0
clear,low,281.28,7,0
rain,low,281.28,7,0
rain,low,281.19,8,0
clear,low,281.19,8,0
rain,low,281.19,8,0
rain,medium,281.7,9,0
rain,medium,281.7,9,0
clear,medium,281.7,9,0
rain,medium,281.7,9,0
rain,medium,282.02,10,0
rain,medium,282.02,10,0
clear,medium,282.02,10,0
rain,medium,282.02,10,0
rain,medium,282.35,11,0
clear,medium,282.35,11,0
rain,medium,282.35,11,0
rain,medium,282.71,12,0
clear,medium,282.71,12,0
rain,medium,282.71,12,0
rain,medium,282.71,12,0
rain,medium,283.31,13,0
clear,medium,283.79,14,0
clear,medium,284.2,15,0
clear,medium,284.32,16,0
clear,high,284.13,17,0
clear,medium,283.14,18,0
clear,medium,281.4,19,0
clear,medium,280.47,20,0
clear,low,279.52,21,0
clear,low,278.85,22,0
clear,low,278.12,23,0
clear,low,277.94,0,0
clear,low,275.93,8,0
clear,low,275.93,8,0
clear,medium,284.09,17,0
clear,medium,282.6,18,0
clear,low,281.72,22,0
clear,low,281.26,23,0
clear,low,281.29,0,0
clear,low,281.01,1,0
clear,low,280.57,2,0
clear,low,280.54,3,0
clear,low,279.37,4,0
clear,low,279.18,5,0
clear,high,279.05,6,0
clear,medium,282.7,10,0
clear,medium,286.17,11,0
clear,medium,288.61,12,0
clear,medium,290.59,13,0
clear,high,292.21,14,0
clear,high,293.56,15,0
clear,high,293.43,16,0
clear,high,293.4,17,0
clear,medium,291.47,18,0
clear,medium,289.17,19,0
clear,low,287.28,20,0
clear,low,286.1,21,0
clear,low,285.45,22,0
clear,low,285.33,23,0
clear,low,285.07,0,0
clear,low,284.58,1,0
clear,low,283.88,2,0
clear,low,283.55,3,0
clear,low,282.85,4,0
clear,low,282.42,5,0
clear,high,282.13,6,0
clear,high,281.85,7,0
clear,high,281.85,8,0
clear,high,283.07,9,0
clear,medium,284.53,10,0
clear,medium,285.6,11,0
clear,medium,286.63,12,0
rain,medium,286.75,13,0
clear,high,287.97,14,0
rain,high,288.54,15,1
clear,high,288.72,16,0
clear,high,288.53,17,0
clear,medium,288.16,18,0
clear,medium,287.59,19,0
clear,low,287.21,20,0
clear,low,286.29,21,0
clear,low,285.7,22,0
clear,low,285.61,23,0
rain,low,285.37,0,0
clear,low,285.37,0,0
clear,low,285.51,1,0
clear,low,285.6,2,0
clear,low,285.99,3,0
clear,low,285.99,3,0
clear,low,285.94,4,0
rain,low,285.94,4,0
clear,low,285.97,5,0
rain,low,285.97,5,0
rain,low,285.97,5,0
clear,high,285.73,6,0
rain,high,285.73,6,1
rain,high,285.73,6,1
rain,high,285.73,6,1
rain,high,285.5,7,1
clear,high,285.5,7,0
rain,high,285.55,8,1
clear,high,285.55,8,0
rain,high,285.55,8,1
rain,high,285.55,8,1
rain,high,285.93,9,1
clear,high,285.93,9,0
rain,high,285.93,9,1
clear,medium,286.34,10,0
clear,medium,286.82,11,0
clear,medium,286.82,11,0
clear,medium,288.36,12,0
clear,medium,288.36,12,0
clear,medium,288.36,12,0
clear,high,289.08,13,0
clear,high,289.08,13,0
clear,high,289.08,13,0
clear,high,289.88,14,0
clear,high,289.88,14,0
clear,high,290.24,15,0
clear,high,290.24,15,0
rain,high,290.24,15,1
clear,high,290.01,16,0
clear,high,289.62,17,0
clear,high,289.62,17,0
clear,medium,289.61,18,0
clear,medium,289.61,18,0
clear,medium,289.06,19,0
clear,low,288.34,20,0
clear,low,288.34,20,0
clear,low,287.06,21,0
clear,low,287.41,22,0
clear,low,287.52,23,0
clear,low,287.81,0,0
clear,low,287.29,1,0
clear,low,287.23,2,0
clear,low,286.44,3,0
clear,low,285.32,4,0
clear,low,285.32,4,0
clear,low,285.43,5,0
clear,medium,285.53,6,0
clear,high,285.2,7,0
clear,high,285.2,7,0
clear,high,285.02,8,0
clear,medium,286.43,10,0
clear,medium,287.36,11,0
clear,medium,287.6,12,0
clear,high,287.29,13,0
rain,high,286.41,14,1
clear,high,286.41,14,0
rain,high,286.41,14,1
rain,high,286.41,14,1
rain,high,285.8,15,1
clear,high,285.8,15,0
rain,high,285.8,15,1
rain,high,285.8,15,1
rain,high,285.8,15,1
rain,high,285.29,16,1
clear,high,285.29,16,0
rain,high,285.29,16,1
rain,high,284.77,17,1
clear,high,284.77,17,0
rain,high,284.77,17,1
rain,high,284.29,18,1
clear,high,284.29,18,0
rain,high,284.29,18,1
rain,high,284.29,18,1
rain,medium,283.79,19,0
clear,medium,283.79,19,0
rain,medium,283.79,19,0
rain,low,283.44,20,0
clear,low,283.44,20,0
rain,low,283.44,20,0
rain,low,283.22,21,0
clear,low,283.22,21,0
rain,low,283.22,21,0
clear,low,282.82,22,0
clear,low,282.13,23,0
rain,low,281.05,0,0
rain,low,281.05,0,0
rain,low,281.05,0,0
rain,low,280.44,1,0
rain,low,280.44,1,0
rain,low,280.07,2,0
clear,low,280.07,2,0
rain,low,280.07,2,0
rain,low,279.54,3,0
clear,low,279.54,3,0
rain,low,279.54,3,0
rain,low,279.54,3,0
rain,low,278.93,4,0
clear,low,278.93,4,0
rain,low,278.93,4,0
rain,low,278.93,4,0
rain,low,278.93,4,0
rain,low,278.27,5,0
clear,low,278.27,5,0
rain,low,278.27,5,0
rain,low,278.27,5,0
rain,high,278.07,6,1
clear,high,278.07,6,0
rain,high,278.07,6,1
rain,high,277.53,7,1
rain,high,277.53,7,1
rain,high,276.23,8,1
clear,high,276.23,8,0
rain,high,276.23,8,1
rain,high,275.66,9,1
clear,high,275.66,9,0
snow,high,275.66,9,1
rain,medium,275.02,10,0
clear,medium,275.02,10,0
rain,medium,275.02,10,0
snow,medium,275.02,10,0
rain,high,275.03,11,1
snow,high,275.03,11,1
clear,high,275.03,11,0
rain,high,275.03,11,1
clear,high,274.5,12,0
snow,high,274.5,12,1
snow,high,275.01,13,1
snow,high,275.38,14,1
clear,high,275.38,14,0
snow,high,275.85,15,1
clear,high,276.56,16,0
clear,high,276.7,17,0
clear,high,276.71,18,0
clear,medium,276.43,19,0
clear,medium,276.23,20,0
clear,medium,275.99,21,0
clear,low,276.28,22,0
clear,low,276.28,23,0
clear,low,276.01,0,0
clear,low,275.36,1,0
clear,low,274.93,2,0
clear,low,274.28,3,0
clear,low,274.01,4,0
clear,low,273.71,5,0
clear,low,273.43,6,0
clear,low,273.65,7,0
clear,medium,274.58,8,0
clear,medium,275.39,9,0
clear,medium,275.44,10,0
clear,high,276.11,11,0
clear,high,276.48,12,0
clear,high,276.5,13,0
clear,medium,276.56,14,0
clear,medium,276.61,15,0
clear,medium,276.9,16,0
clear,medium,276.61,17,0
clear,medium,276.34,18,0
clear,medium,275.96,19,0
clear,medium,275.6,20,0
clear,low,274.86,21,0
clear,low,274.05,22,0
clear,low,273.62,23,0
clear,low,273.52,0,0
clear,low,273.54,1,0
clear,low,273.63,2,0
clear,low,273.63,3,0
clear,low,273.22,4,0
clear,low,272.75,5,0
clear,low,272.16,6,0
clear,low,271.06,7,0
clear,low,270.68,8,0
clear,low,272.6,9,0
clear,medium,274.06,10,0
clear,medium,275.81,11,0
clear,medium,277.54,12,0
clear,medium,278.54,13,0
clear,medium,278.97,14,0
clear,medium,278.91,15,0
clear,medium,278.81,16,0
clear,medium,278.27,17,0
clear,medium,276.67,18,0
clear,medium,275.86,19,0
clear,low,274.29,20,0
clear,low,273.37,21,0
clear,low,272.77,22,0
clear,low,272.01,23,0
clear,low,271.78,0,0
clear,low,271.41,1,0
clear,low,271.46,2,0
clear,low,271.76,3,0
clear,low,272.24,4,0
clear,low,271.98,5,0
clear,high,271.53,6,0
clear,high,271.46,7,0
clear,high,271.7,8,0
clear,high,273.26,9,0
clear,medium,274.9,10,0
clear,medium,276.33,11,0
snow,medium,277.58,12,0
clear,medium,278.5,13,0
clear,high,279.3,14,0
clear,high,279.89,15,0
clear,high,280.11,16,0
clear,high,279.82,17,0
clear,medium,278.69,18,0
clear,medium,277.75,19,0
clear,low,276.77,20,0
clear,low,276.61,21,0
clear,low,276.06,22,0
clear,low,275.22,23,0
clear,low,274.75,0,0
clear,low,274.24,1,0
clear,low,273.47,2,0
clear,low,273.5,3,0
clear,low,273.15,4,0
clear,low,273.0,5,0
clear,high,272.69,6,0
clear,high,273.08,7,0
clear,high,273.91,8,0
clear,high,274.82,9,0
clear,medium,276.16,10,0
clear,medium,277.69,11,0
clear,high,278.47,12,0
clear,high,279.12,13,0
clear,high,279.28,14,0
clear,high,280.19,15,0
clear,high,280.5,16,0
clear,high,280.3,17,0
clear,medium,279.58,18,0
clear,medium,278.78,19,0
clear,low,278.5,20,0
clear,low,276.93,21,0
clear,low,276.03,22,0
clear,low,275.01,23,0
clear,low,273.87,0,0
clear,low,272.99,1,0
clear,low,272.41,2,0
clear,low,272.31,3,0
clear,low,272.39,4,0
clear,low,271.73,5,0
clear,high,271.54,6,0
clear,high,271.12,7,0
clear,high,271.17,8,0
clear,high,273.11,9,0
clear,medium,276.01,10,0
clear,medium,278.27,11,0
clear,high,279.84,12,0
clear,high,280.68,13,0
clear,high,281.22,14,0
clear,high,281.8,15,0
clear,high,282.2,16,0
clear,high,281.48,17,0
clear,medium,280.0,18,0
clear,low,278.48,19,0
clear,low,276.86,20,0
clear,low,275.45,21,0
clear,low,274.05,22,0
clear,low,272.75,23,0
clear,low,271.73,0,0
clear,low,270.91,1,0
clear,low,270.15,2,0
clear,low,269.68,3,0
clear,low,269.44,4,0
clear,low,268.96,5,0
clear,high,268.61,6,0
clear,high,268.74,7,0
clear,high,268.45,8,0
clear,high,270.9,9,0
clear,medium,273.45,10,0
clear,high,275.9,11,0
clear,high,278.7,12,0
clear,high,280.25,13,0
clear,high,281.67,14,0
clear,high,283.03,15,0
clear,high,283.13,16,0
clear,high,283.04,17,0
clear,medium,281.3,18,0
clear,medium,279.84,19,0
clear,medium,278.88,20,0
clear,low,278.51,21,0
clear,low,279.26,22,0
rain,low,279.21,23,0
clear,low,278.85,0,0
clear,low,277.59,1,0
clear,low,277.01,2,0
clear,low,277.15,3,0
clear,low,277.9,4,0
clear,low,278.31,5,0
clear,high,278.63,6,0
clear,high,278.22,7,0
clear,high,277.58,8,0
clear,high,278.02,9,0
clear,medium,278.37,10,0
clear,high,278.78,11,0
clear,high,278.78,12,0
clear,high,279.59,13,0
clear,high,279.64,14,0
clear,high,280.0,15,0
clear,high,279.76,16,0
clear,high,278.9,17,0
clear,medium,277.06,18,0
clear,medium,275.29,19,0
clear,low,274.98,20,0
clear,low,273.31,21,0
clear,low,272.77,22,0
clear,low,272.06,23,0
clear,low,272.01,0,0
clear,low,271.8,1,0
clear,low,271.3,2,0
clear,low,270.41,3,0
clear,low,269.9,4,0
clear,low,269.56,5,0
clear,low,269.39,6,0
clear,low,269.24,7,0
clear,medium,268.99,8,0
clear,medium,271.47,9,0
clear,medium,272.85,10,0
clear,medium,273.93,11,0
clear,medium,274.85,12,0
clear,medium,275.43,13,0
clear,medium,275.73,14,0
clear,medium,275.9,15,0
clear,medium,276.29,16,0
clear,medium,276.41,17,0
clear,medium,276.29,18,0
clear,medium,276.13,19,0
clear,low,275.93,20,0
clear,low,275.93,21,0
clear,low,275.67,22,0
clear,low,275.58,23,0
clear,low,275.67,0,0
clear,low,275.6,1,0
clear,low,275.77,1,0
clear,low,275.42,2,0
clear,low,275.47,3,0
clear,low,275.33,5,0
clear,low,275.08,6,0
clear,low,275.08,7,0
rain,low,275.09,8,0
snow,low,275.09,8,0
clear,low,275.44,9,0
clear,medium,276.1,10,0
clear,medium,276.45,11,0
clear,medium,276.76,12,0
clear,medium,277.11,13,0
clear,medium,278.13,14,0
clear,medium,278.44,15,0
clear,medium,278.44,16,0
clear,medium,278.09,17,0
clear,medium,277.72,18,0
clear,low,277.41,19,0
clear,low,277.2,20,0
clear,low,277.06,21,0
clear,low,276.7,22,0
rain,low,276.54,23,0
clear,low,276.07,0,0
clear,low,275.67,1,0
clear,low,274.97,2,0
clear,low,274.86,3,0
clear,low,273.45,4,0
clear,low,272.66,5,0
clear,high,272.18,6,0
clear,high,272.32,7,0
clear,high,272.69,8,0
clear,medium,274.26,9,0
clear,medium,275.99,10,0
